species,strain,reference_genome_accession,reference_identifier,gene_name,category,product_annotation,annotation_source,inclusion_rule,mapping_method,mapping_confidence
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3320,rplC,ribosomal protein,50S ribosomal subunit protein L3,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3321,rpsJ,ribosomal protein,30S ribosomal subunit protein S10,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3341,rpsG,ribosomal protein,30S ribosomal subunit protein S7,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3342,rpsL,ribosomal protein,30S ribosomal subunit protein S12,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3636,rpmG,ribosomal protein,50S ribosomal subunit protein L33,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3637,rpmB,ribosomal protein,50S ribosomal subunit protein L28,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3703,rpmH,ribosomal protein,50S ribosomal subunit protein L34,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3936,rpmE,ribosomal protein,50S ribosomal subunit protein L31,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3983,rplK,ribosomal protein,50S ribosomal subunit protein L11,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3984,rplA,ribosomal protein,50S ribosomal subunit protein L1,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3985,rplJ,ribosomal protein,50S ribosomal subunit protein L10,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3986,rplL,ribosomal protein,50S ribosomal subunit protein L12,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b4200,rpsF,ribosomal protein,30S ribosomal subunit protein S6,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b4202,rpsR,ribosomal protein,30S ribosomal subunit protein S18,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b4203,rplI,ribosomal protein,50S ribosomal subunit protein L9,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b4506,ykgO,ribosomal protein,50S ribosomal subunit protein L36B,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS00120,rpoB,RNA polymerase,DNA-directed RNA polymerase subunit beta,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS00125,rpoC,RNA polymerase,DNA-directed RNA polymerase subunit beta',NCBI RefSeq GCF_001456255.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12040,NA,RNA polymerase,DNA-directed RNA polymerase subunit alpha,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12735,rpoZ,RNA polymerase,DNA-directed RNA polymerase subunit omega,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS00100,rplK,ribosomal protein,50S ribosomal protein L11,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS00105,rplA,ribosomal protein,50S ribosomal protein L1,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS00110,rplJ,ribosomal protein,50S ribosomal protein L10,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS00115,rplL,ribosomal protein,50S ribosomal protein L7/L12,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS01295,rpsP,ribosomal protein,30S ribosomal protein S16,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS01310,rplS,ribosomal protein,50S ribosomal protein L19,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS01695,rpsO,ribosomal protein,30S ribosomal protein S15,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS02235,NA,ribosomal protein,type B 50S ribosomal protein L31,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS02240,ykgO,ribosomal protein,type B 50S ribosomal protein L36,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS02300,rpsB,ribosomal protein,30S ribosomal protein S2,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS03535,rpmF,ribosomal protein,50S ribosomal protein L32,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS03670,rpsA,ribosomal protein,30S ribosomal protein S1,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS07270,rplT,ribosomal protein,50S ribosomal protein L20,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS07275,rpmI,ribosomal protein,50S ribosomal protein L35,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS07625,rplY,ribosomal protein,50S ribosomal protein L25,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS11040,rpsT,ribosomal protein,30S ribosomal protein S20,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS11455,rpsI,ribosomal protein,30S ribosomal protein S9,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS11460,rplM,ribosomal protein,50S ribosomal protein L13,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS11605,rpsU,ribosomal protein,30S ribosomal protein S21,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS11835,rpmA,ribosomal protein,50S ribosomal protein L27,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS11840,rplU,ribosomal protein,50S ribosomal protein L21,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12035,rplQ,ribosomal protein,50S ribosomal protein L17,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12045,rpsD,ribosomal protein,30S ribosomal protein S4,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12050,rpsK,ribosomal protein,30S ribosomal protein S11,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12055,rpsM,ribosomal protein,30S ribosomal protein S13,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12060,rpmJ,ribosomal protein,50S ribosomal protein L36,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12070,rplO,ribosomal protein,50S ribosomal protein L15,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12075,rpmD,ribosomal protein,50S ribosomal protein L30,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12080,rpsE,ribosomal protein,30S ribosomal protein S5,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12085,rplR,ribosomal protein,50S ribosomal protein L18,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12090,rplF,ribosomal protein,50S ribosomal protein L6,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12095,rpsH,ribosomal protein,30S ribosomal protein S8,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12100,rpsN,ribosomal protein,30S ribosomal protein S14,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12105,rplE,ribosomal protein,50S ribosomal protein L5,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12110,rplX,ribosomal protein,50S ribosomal protein L24,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12115,rplN,ribosomal protein,50S ribosomal protein L14,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12120,rpsQ,ribosomal protein,30S ribosomal protein S17,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12125,rpmC,ribosomal protein,50S ribosomal protein L29,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12130,rplP,ribosomal protein,50S ribosomal protein L16,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12135,rpsC,ribosomal protein,30S ribosomal protein S3,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12140,rplV,ribosomal protein,50S ribosomal protein L22,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12145,rpsS,ribosomal protein,30S ribosomal protein S19,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12150,rplB,ribosomal protein,50S ribosomal protein L2,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12155,rplW,ribosomal protein,50S ribosomal protein L23,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12160,rplD,ribosomal protein,50S ribosomal protein L4,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12165,rplC,ribosomal protein,50S ribosomal protein L3,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12170,rpsJ,ribosomal protein,30S ribosomal protein S10,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12175,rpmE,ribosomal protein,50S ribosomal protein L31,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12600,rpmG,ribosomal protein,50S ribosomal protein L33,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS12605,rpmB,ribosomal protein,50S ribosomal protein L28,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS13515,rpmH,ribosomal protein,50S ribosomal protein L34,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS14930,rpsL,ribosomal protein,30S ribosomal protein S12,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS14935,rpsG,ribosomal protein,30S ribosomal protein S7,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS15090,rpsF,ribosomal protein,30S ribosomal protein S6,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS15100,rpsR,ribosomal protein,30S ribosomal protein S18,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Vibrio natriegens,ATCC 14048,GCF_001456255.1,PN96_RS15105,rplI,ribosomal protein,50S ribosomal protein L9,NCBI RefSeq GCF_001456255.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
